date,condition,city
2024-05-06 07:26:01 UTC,Mist,Suwon-si
2024-05-06 07:26:01 UTC,Mist,Suwon-si
2024-05-07 07:40:05 UTC,Mist,Suwon-si
2024-05-07 07:26:48 UTC,Mist,Suwon-si
2024-05-06 07:56:51 UTC,Mist,Suwon-si
2024-05-06 07:50:03 UTC,Mist,Suwon-si
2024-05-06 07:56:51 UTC,Mist,Suwon-si
2024-04-29 07:06:37 UTC,Rain,Suwon-si
2024-04-29 09:19:31 UTC,Rain,Suwon-si
2024-04-29 09:29:46 UTC,Rain,Suwon-si
2024-04-29 08:10:02 UTC,Rain,Suwon-si
2024-04-29 09:29:46 UTC,Rain,Suwon-si
2024-05-06 08:26:05 UTC,Rain,Suwon-si
2024-05-07 07:45:17 UTC,Rain,Suwon-si
2024-05-07 07:05:39 UTC,Rain,Suwon-si
2024-05-07 07:45:17 UTC,Rain,Suwon-si
2024-05-06 08:26:05 UTC,Rain,Suwon-si
2024-05-06 08:20:03 UTC,Rain,Suwon-si
2024-05-06 09:48:04 UTC,Rain,Suwon-si
2024-05-06 09:37:17 UTC,Rain,Suwon-si
2024-05-07 07:05:39 UTC,Rain,Suwon-si
2024-05-07 08:26:48 UTC,Rain,Suwon-si
2024-05-07 08:26:48 UTC,Rain,Suwon-si
2024-05-07 08:05:50 UTC,Rain,Suwon-si
2024-05-07 08:05:50 UTC,Rain,Suwon-si
2024-05-07 09:50:04 UTC,Rain,Suwon-si
2024-05-07 09:30:00 UTC,Rain,Suwon-si
2024-05-07 09:30:00 UTC,Rain,Suwon-si
2024-05-07 09:18:13 UTC,Rain,Suwon-si
2024-05-07 08:59:25 UTC,Rain,Suwon-si
2024-05-07 08:59:25 UTC,Rain,Suwon-si
2024-04-10 13:46:55 UTC,Clear,Suwon-si
2024-04-10 18:21:39 UTC,Clear,Suwon-si
2024-04-10 19:06:08 UTC,Clear,Suwon-si
2024-04-10 20:20:57 UTC,Clear,Suwon-si
2024-04-27 20:58:01 UTC,Clear,Suwon-si
2024-05-02 07:18:49 UTC,Clear,Suwon-si
2024-05-02 07:18:49 UTC,Clear,Suwon-si
2024-05-02 06:56:58 UTC,Clear,Suwon-si
2024-05-02 06:56:58 UTC,Clear,Suwon-si
2024-05-02 08:56:43 UTC,Clear,Suwon-si
2024-05-02 08:38:06 UTC,Clear,Suwon-si
2024-05-02 09:06:14 UTC,Clear,Suwon-si
2024-05-02 08:15:52 UTC,Clear,Suwon-si
2024-05-02 08:50:02 UTC,Clear,Suwon-si
2024-05-02 08:15:52 UTC,Clear,Suwon-si
2024-05-02 07:36:12 UTC,Clear,Suwon-si
2024-05-02 07:36:12 UTC,Clear,Suwon-si
2024-05-02 07:59:09 UTC,Clear,Suwon-si
2024-05-02 08:09:51 UTC,Clear,Suwon-si
